anomaly_score,label
7.599265e-05,0
0.000156169,0
9.616718e-05,0
4.6792095e-05,0
9.726247e-05,0
0.00021064465,0
2.9842378e-05,0
0.00047660986,0
8.111658e-05,0
2.4039371e-05,0
0.00018252588,0
0.0007791198,0
0.00020905562,0
0.00073027815,0
0.00032913164,0
0.000557444,0
3.199025e-05,0
8.754072e-05,0
0.00022329473,0
0.0021318775,0
0.00026145566,0
0.00010379384,0
8.909257e-05,0
0.00026287034,0
0.00020117962,0
6.043417e-05,0
0.0005302371,0
0.0011216367,0
0.00019767917,0
0.0002533712,0
4.4652723e-05,0
0.0009465405,0
0.003460259,0
6.0830578e-05,0
4.1507916e-05,0
5.9320133e-05,0
0.00060505635,0
2.82092e-05,0
5.011545e-05,0
0.0004800816,0
0.0002455137,0
9.026951e-05,0
0.0006752993,0
0.0009052732,0
0.00032736204,0
0.00017485929,0
3.505971e-05,0
7.293646e-05,0
0.0040632007,0
0.00017449232,0
7.3476855e-05,0
0.0007741082,0
5.246129e-05,0
0.000102143145,0
0.00025671223,0
0.00020168778,0
0.00047327095,0
0.0014249914,0
6.957261e-05,0
0.00023583705,0
0.00011957435,0
0.00015843789,0
3.190746e-05,0
0.00012468471,0
0.0001325987,0
7.897217e-05,0
0.0003837897,0
3.745445e-05,0
0.00040164567,0
0.00036171038,0
0.0001393241,0
6.256411e-05,0
0.00012121129,0
0.00031628957,0
4.5849898e-05,0
5.304964e-05,0
0.00024617926,0
8.690638e-05,0
4.8369093e-05,0
2.9123206e-05,0
0.00026474573,0
0.00037807418,0
6.4921725e-05,0
4.0164763e-05,0
0.0016737905,0
0.0002214012,0
0.00021876511,0
8.058787e-05,0
0.027930217,0
0.0050990344,0
0.00014840787,0
0.00036733225,0
0.00010624136,0
5.794507e-05,0
0.007491861,0
0.00031503508,0
8.518666e-05,0
0.00017429942,0
0.00022124182,0
0.00032548112,0
0.0004851578,0
0.0004206066,0
4.502908e-05,0
3.809147e-05,0
9.171741e-05,0
9.100336e-05,0
3.807455e-05,0
0.0014028793,0
0.00015945485,0
0.0001166321,0
